Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.66,0.743333333333,0.65
2,0.327,0.378888888889,0.42
3,0.252,0.524444444444,0.34
4,0.958,0.998888888889,0.96
5,0.767,0.915555555556,0.78
6,0.68,0.755555555556,0.65
7,0.72,0.83,0.82
8,0.858,0.926666666667,0.88
9,0.705,0.777777777778,0.59
10,0.568,0.716666666667,0.55
11,0.74,0.788888888889,0.74
12,0.544,0.582222222222,0.45
13,0.603,0.627777777778,0.63
14,0.76,0.94,0.76
15,1.0,1.0,1.0
16,0.459,0.55,0.37
17,0.553,0.838888888889,0.67
18,0.887,0.971111111111,0.94
19,0.097,0.208888888889,0.07
20,0.999,1.0,0.99
