Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.991,0.997777777778,1.0
2,0.608,0.963333333333,0.74
3,0.302,0.94,0.47
4,0.992,1.0,0.99
5,0.493,0.54,0.47
6,0.573,0.583333333333,0.45
7,0.488,0.487777777778,0.49
8,0.801,0.887777777778,0.79
9,0.661,0.671111111111,0.73
10,0.471,0.542222222222,0.51
11,0.981,1.0,0.97
12,0.995,0.997777777778,0.99
13,0.982,0.998888888889,0.96
14,0.915,1.0,0.95
15,0.213,0.287777777778,0.31
16,0.236,0.278888888889,0.29
17,0.543,0.908888888889,0.69
18,0.913,0.964444444444,0.96
19,0.076,0.09,0.09
20,0.843,0.851111111111,0.84
